Date,AAPL,MSFT,NVDA,SPY
2024-01-02,185.64,370.87,48.17,472.65
2024-01-03,184.25,370.60,47.57,468.79
2024-01-04,181.91,367.94,47.99,467.28
2024-01-05,181.18,367.75,49.10,467.92
2024-01-08,185.56,374.69,52.25,474.60
2024-01-09,185.14,375.79,53.14,473.88
