,EWMA(0.94),GARCH11_h1,EGARCH11_h1,GJR11_h1,HAR_RV_h1,realized_vol,realized_var
2010-01-05,0.16562512864654844,,,,,,
2010-01-06,0.1609082046038484,,,,,,
2010-01-07,0.15603029552117723,,,,,,
2010-01-08,0.1521611832733045,,,,,,
2010-01-11,0.14809012163894208,,,,,,
2010-01-12,0.14368121814273888,,,,,,
2010-01-13,0.1439897226165886,,,,,,
2010-01-14,0.14338304065034366,,,,,,
2010-01-15,0.13941109444498037,,,,,,
2010-01-19,0.14211211597791581,,,,,,
2010-01-20,0.14599952746513897,,,,,,
2010-01-21,0.1470253139179301,,,,,,
2010-01-22,0.16130594537088738,,,,,,
2010-01-25,0.17928423943869137,,,,,,
2010-01-26,0.17495652446768778,,,,,,
2010-01-27,0.17041076023109328,,,,,,
2010-01-28,0.16624687285242026,,,,,,
2010-01-29,0.16731079718249078,,,,,,
2010-02-01,0.16768736318120459,,,,,,
2010-02-02,0.1732983307632546,,,,,,
2010-02-03,0.17441022336490375,,,,,0.16478961944069692,0.00010776039156908618
2010-02-04,0.1702088529329651,,,,,0.1935966632767299,0.00014872884139636322
2010-02-05,0.20517095361271104,,,,,0.19399174915569076,0.0001493365029384303
2010-02-08,0.19908259772445833,,,,,0.19264446554027836,0.0001472694051718234
2010-02-09,0.19506318154321647,,,,,0.19928636952018386,0.0001575994328433939
2010-02-10,0.19524939007750802,,,,,0.19865842484863722,0.00015660781652119697
2010-02-11,0.18945471451785534,,,,,0.2028390475791747,0.00016326856834455037
2010-02-12,0.18809200971742185,,,,,0.19913950358812968,0.00015736722971955043
2010-02-16,0.1823906949374058,,,,,0.20845102794836814,0.0001724279010029022
2010-02-17,0.18696475975484733,,,,,0.20703166291727684,0.00017008773591386088
2010-02-18,0.18219864587054702,,,,,0.20271059539586073,0.00016306184716565218
2010-02-19,0.17812044333010113,,,,,0.20070026572341385,0.00015984363754543223
2010-02-22,0.1728819551311782,,,,,0.18940760940975757,0.0001423620734219019
2010-02-23,0.16761673697966192,,,,,0.17705627611513344,0.0001244004956815808
2010-02-24,0.1693138543891535,,,,,0.17899482392793414,0.00012713947219441325
2010-02-25,0.16797194471711818,,,,,0.17833316512743838,0.0001262012610490881
2010-02-26,0.1629399876398808,,,,,0.17769305015038825,0.00012529690504662057
2010-03-01,0.15799531145820353,,,,,0.1753241403537277,0.000121978389645927
2010-03-02,0.15836238004618466,,,,,0.16947768648576372,0.00011397891355780486
2010-03-03,0.15391437658844323,,,,,0.1623884556261161,0.000104642898891409
2010-03-04,0.14926575828407834,,,,,0.15788960609918928,9.892510997681408e-05
2010-03-05,0.1451950726900261,,,,,0.16268072549089135,0.00010501991446921726
2010-03-08,0.15120217877833783,,,,,0.10950377996769783,4.7583642171484054e-05
