model,MAE(vol),RMSE(vol),MSE(var),QLIKE(var),n
HAR_RV_h1,0.005789081791092423,0.009209348187555222,1.117929153075042e-10,-8.555963297618376,63
EWMA(0.94),0.015945720084668293,0.01901918321586465,4.096323236222651e-10,-8.525549327050204,63
GARCH11_h1,0.019451525277465066,0.0236666521150606,9.032702595704455e-10,-8.518353136305347,63
EGARCH11_h1,0.022314366950941397,0.02627297556993318,9.857123608586876e-10,-8.504159391721888,63
GJR11_h1,0.040968063686980846,0.05061959295547265,4.168666699216863e-09,-8.297051848944236,63
