,returns,weight,pnl,equity,var_1d,abs_return
2010-01-05,0.0026436014395869734,,,,,
2010-01-06,0.0007038175438651706,,,,,
2010-01-07,0.004212445044087687,,,,,
2010-01-08,0.003321805200366512,,,,,
2010-01-11,0.0013956036311082443,,,,,
2010-01-12,-0.009369704215147046,,,,,
2010-01-13,0.008410903024548944,,,,,
2010-01-14,0.002700659935239713,,,,,
2010-01-15,-0.011287862355197298,,,,,
2010-01-19,0.0124184102397491,,,,,
2010-01-20,-0.010220882742504322,,,,,
2010-01-21,-0.019416337375928627,,,,,
2010-01-22,-0.022543912146225864,,,,,
2010-01-25,0.005114542844014025,,,,,
2010-01-26,-0.004199307671233221,,,,,
2010-01-27,0.0047461008977487396,,,,,
2010-01-28,-0.011538873464725263,,,,,
2010-01-29,-0.0109282263045003,,,,,
2010-02-01,0.015431198172662697,,,,,
2010-02-02,0.012031025961523056,,,,,
2010-02-03,-0.004995124364960191,,,,,
2010-02-04,-0.03135216612201219,,,,,
2010-02-05,0.0020648821460635958,,,,,
2010-02-08,-0.0072456743164019954,,,,,
2010-02-09,0.012481886928259911,,,,,
2010-02-10,-0.0019603204531914997,,,,,
2010-02-11,0.010411826169559824,,,,,
2010-02-12,-0.0008324490301472309,,,,,
2010-02-16,0.015612363093945092,,,,,
2010-02-17,0.004727176091694041,,,,,
2010-02-18,0.005877534174114629,,,,,
2010-02-19,0.0020716596399026344,,,,,
2010-02-22,0.00018008124437418616,,,,,
2010-02-23,-0.012219154566354362,,,,,
2010-02-24,0.009155562542951579,,,,,
2010-02-25,-0.0013544901996160874,,,,,
2010-02-26,0.0006323114675677033,,,,,
2010-03-01,0.010331400477459951,,,,,
2010-03-02,0.002766371560452008,,,,,
2010-03-03,0.0008912194676060636,,,,,
2010-03-04,0.0030228246923895696,,,,,
2010-03-05,0.014192055405440662,,,,,
2010-03-08,0.00017491201345620766,,,,,
2010-03-09,0.001661476292613706,,,,,
2010-03-10,0.004445861117844174,,,,,
2010-03-11,0.004166376386374182,,,,,
2010-03-12,8.672741948423379e-05,,,,,
2010-03-15,0.0002595191052279233,,,,,
2010-03-16,0.007934789021152078,,,,,
2010-03-17,0.005909979681960387,,,,,
2010-03-18,-0.0005129247076025578,,,,,
2010-03-19,-0.00507441593134228,,,,,
2010-03-22,0.005331564412225376,,,,,
2010-03-23,0.0070090363385828525,,,,,
2010-03-24,-0.004866787911612214,,,,,
2010-03-25,-0.0016272792170877182,,,,,
2010-03-26,-0.0006003295984466916,,,,,
2010-03-29,0.006327452005439049,,,,,
2010-03-30,0.0006815750764985751,,,,,
2010-03-31,-0.0034127907291710002,,,,,
2010-04-01,0.006814663552933808,,,,,
2010-04-05,0.008115841942579749,,,,,
2010-04-06,0.0023553420880757514,,,,,
2010-04-07,-0.005728984768002654,,,,,
2010-04-08,0.0034582057439509484,,,,,
2010-04-09,0.006545443888045455,,,,,
2010-04-12,0.001587921843369422,,,,,
2010-04-13,0.0007516199263024603,,,,,
2010-04-14,0.01128554578647556,,,,,
2010-04-15,0.0008248500778424983,,,,,
2010-04-16,-0.01604029990659761,,,,,
2010-04-19,0.0037631993150766263,,,,,
2010-04-20,0.008891202122612185,,,,,
2010-04-21,-0.001821934459803387,,,,,
2010-04-22,0.0029794764376500638,,,,,
2010-04-23,0.0065063433468468546,,,,,
2010-04-26,-0.003783553820901453,,,,,
2010-04-27,-0.023934509061695586,,,,,
2010-04-28,0.007567279446108799,,,,,
2010-04-29,0.012321473550205297,,,,,
2010-04-30,-0.017107672620691794,,,,,
2010-05-03,0.012878934560993649,,,,,
2010-05-04,-0.023795889854193675,,,,,
